Activity Totals Data Participant ID,Activity Totals Data Entry Date,Activity Totals Data Stddev La,Activity Totals Data Total La,Activity Totals Data Avg Actual LA,Activity Totals Data Avg Normalized La,Activity Totals Data Average Actual LA,Activity Totals Data Average Actual RA,Activity Totals Data Count,Activity Totals Data La Avg Normalized,Activity Totals Data Total La
2056,2023-11-10,77.99184712088031,25802.180000000004,147.44102857142855,368.2846885709714,147.441029,147.290298,1,368.284689,25802.18
2051,2023-10-16,98.1861364079098,33687.19,202.9348795180723,506.89967119493986,202.93488,206.446154,1,506.899671,33687.19
2044,2023-11-05,50.80917640866599,16866.410000000003,98.06052325581396,244.9398896513954,98.060523,104.746429,1,244.93989,16866.41
2044,2023-10-06,61.162191571304724,20379.09999999999,118.48313953488372,295.9523991883721,118.48314,121.267456,1,295.952399,20379.1
2043,2023-10-22,75.21247760561911,22301.270000000004,134.345,335.57285218000004,134.345,143.188363,1,335.572852,22301.27
2043,2023-09-23,72.3629306872559,23097.440000000006,131.98537142857143,329.67886811062857,131.985371,164.74119,1,329.678868,23097.44
2029,2023-10-09,65.21420360495745,22760.22,140.49518518518516,350.93505534370365,140.495185,185.976707,1,350.935055,22760.22
2029,2023-11-11,79.7913777546343,26532.710000000003,157.93279761904762,394.4914909359524,157.932798,192.5288,1,394.491491,26532.71
2029,2023-09-09,63.99823921185274,21161.460000000003,125.21573964497043,312.76938397775154,125.21574,178.126386,1,312.769384,21161.46
2029,2023-08-05,72.64073508603316,23401.100000000006,136.05290697674417,339.8389373744186,136.052907,170.345723,1,339.838937,23401.1
2027,2023-08-05,75.55177690411976,26402.710000000003,158.1000598802395,394.909285971497,158.10006,138.489643,1,394.909286,26402.71
2027,2023-10-16,180.1141095862826,52749.2,304.9086705202312,761.6142932069365,304.908671,245.11381,1,761.614293,52749.2
2027,2023-09-15,120.86305823940556,41030.12,234.4578285714286,585.6390803501715,234.457829,228.322012,1,585.63908,41030.12
2018,2023-10-23,66.9472018439198,24148.05,144.5991017964072,361.185998827545,144.599102,171.166213,1,361.185999,24148.05
2018,2023-09-25,63.59135337117039,22114.829999999994,130.85698224852078,326.86032796757416,130.856982,143.639128,1,326.860328,22114.83
2018,2023-07-25,80.39115399216905,26406.399999999998,154.42339181286545,385.7255426994151,154.423392,189.623312,1,385.725543,26406.4
2018,2023-08-25,65.00575986249125,22476.219999999994,130.6756976744186,326.40750738186046,130.675698,161.182841,1,326.407507,22476.22
2009,2023-07-14,16.723913881696117,1664.5500000000002,12.330000000000002,30.798416520000007,12.33,84.77122,1,30.798417,1664.55
2009,2023-08-20,15.893626691071598,2215.69,14.673443708609271,36.65197332688742,14.673444,63.751845,1,36.651973,2215.69
2005,2023-10-28,72.43442427079407,24724.570000000003,148.94319277108428,372.0368604040963,148.943193,156.268869,1,372.03686,24724.57
2005,2023-09-17,71.38019415286246,24356.340000000004,145.84634730538923,364.3014235386827,145.846347,159.330947,1,364.301424,24356.34
2005,2023-08-19,77.27003301872551,25179.999999999993,148.1176470588235,369.97477599999996,148.117647,155.223036,1,369.974776,25180
2005,2023-07-16,94.96221778685428,29937.889999999996,169.14062146892658,422.4868864924295,169.140621,182.366667,1,422.486886,29937.89
2000,2023-07-25,46.03125895559316,15430.840000000004,92.95686746987953,232.19175366843376,92.956867,147.011964,1,232.191754,15430.84
1998,2023-08-13,41.16588915238332,13078.519999999997,80.73160493827162,201.65495500543213,80.731605,114.180736,1,201.654955,13078.52
1998,2023-10-16,40.34795999728301,11452.949999999999,69.41181818181819,173.3798935745455,69.411818,141.630823,1,173.379894,11452.95
1998,2023-09-16,45.29976954955983,13462.000000000002,80.13095238095238,200.15461861904762,80.130952,131.561462,1,200.154619,13462
1996,2023-06-20,70.21556228065263,14425.35,129.9581081081081,324.6150805891892,129.958108,211.947438,1,324.615081,14425.35
1996,2023-05-20,86.78926283458958,16378.680000000002,142.42330434782605,355.75119622539125,142.423304,246.096983,1,355.751196,16378.68
1996,2023-07-16,130.05398925646892,27146.030000000006,234.01749999999998,584.53920827,234.0175,318.630273,1,584.539208,27146.03
