Activity Totals Data Participant ID,Activity Totals Data Entry Date,Activity Totals Data Avg Normalized La,Activity Totals Data Avg Normalized Rw
219,2023-11-13,805.1371509881658,459.350269043787
1886,2023-11-12,1017.0539669839536,759.6659459813952
1684,2023-11-12,527.2203791235715,367.0802764152173
1986,2023-11-11,582.7210510396875,62.021571398319324
1931,2023-11-11,2.0011136590909095,454.45279206046513
2029,2023-11-11,394.4914909359524,525.5560789180722
2056,2023-11-10,368.2846885709714,466.3339144176796
581,2023-11-10,879.2820131276837,
378,2023-11-09,322.0261358610909,569.6407157325845
589,2023-11-06,328.3152772292857,337.6973152363637
1799,2023-11-06,155.31727805071432,158.14727129454545
1996,2023-11-05,510.7132983360001,625.2593265590642
2044,2023-11-05,244.9398896513954,413.33608702011827
65,2023-11-05,233.0191924320468,339.67199508852457
1271,2023-10-29,871.294711576,700.0226667301205
337,2023-10-28,1207.436506195503,776.5889042305087
293,2023-10-28,64.39596019901236,114.06612204848484
1829,2023-10-28,684.1831237511504,761.8191292556521
2005,2023-10-28,372.0368604040963,383.5546598022222
1320,2023-10-28,1269.1326435320004,320.82825040924854
546,2023-10-26,447.2445189644445,682.4954121232557
1701,2023-10-25,873.6375912933332,394.5548690620689
1896,2023-10-25,574.4478828265143,128.64681759135135
2018,2023-10-23,361.185998827545,584.0969913380953
1870,2023-10-23,861.3889819748503,727.6552799737706
217,2023-10-22,509.0721029593182,477.97497134117646
2043,2023-10-22,335.57285218000004,362.9955178
1389,2023-10-22,188.08796739421385,167.84729744615385
732,2023-10-22,453.260671185731,0
1745,2023-10-21,629.1432239967902,564.6374348231212
1988,2023-10-21,723.905195789512,540.2621766930232
1892,2023-10-21,318.0418589582,376.2443210851064
49,2023-10-20,131.03165385135802,87.21267519746837
219,2023-10-18,809.6961734413953,516.0464485364707
571,2023-10-18,375.25110412000015,638.6225772953487
493,2023-10-16,403.8119310447905,427.5998143616766
2027,2023-10-16,761.6142932069365,41.000851361256544
1998,2023-10-16,173.3798935745455,451.4674625681818
2051,2023-10-16,506.89967119493986,582.2918397186047
1853,2023-10-15,1177.141760178497,600.8781764870589
278,2023-10-15,178.1539860096552,359.5321898579882
1684,2023-10-15,525.5698867200001,394.24094748603346
1720,2023-10-15,828.9950230845241,670.2577060725147
718,2023-10-15,594.8187076709303,518.319615974269
1886,2023-10-14,1273.9623807558385,755.6874052845716
557,2023-10-14,625.9633396276364,474.64110397377044
65,2023-10-12,275.50311013090914,296.9630153311476
589,2023-10-09,299.2074983064244,336.0271199827027
1986,2023-10-09,627.7496285046707,57.86811846086957
1799,2023-10-09,188.78921528069367,228.50997934973262
2029,2023-10-09,350.93505534370365,500.10910977245516
378,2023-10-07,295.59188533619056,663.3138465760001
2044,2023-10-06,295.9523991883721,316.85968420584794
1352,2023-10-02,158.46110654305085,94.00375929999997
400,2023-09-28,614.5003117977143,89.70430806436781
2018,2023-09-25,326.86032796757416,500.4575196119049
337,2023-09-25,982.9059707046513,805.08221616
1271,2023-09-25,804.1191027717365,599.9123164205714
1829,2023-09-25,611.6970171600002,760.2600786549708
581,2023-09-24,729.6135074353847,
1957,2023-09-24,112.20578909311112,402.5752180848485
2043,2023-09-23,329.67886811062857,546.5742089863637
1896,2023-09-23,491.43752059574473,107.89648445102043
732,2023-09-23,464.0010715133714,0
293,2023-09-22,83.10420075354037,102.43700543352598
1988,2023-09-22,642.3549299549999,540.6358664813187
1701,2023-09-20,790.8027678662068,437.9690635018182
217,2023-09-18,524.2903388377654,457.1383537229051
1942,2023-09-18,457.031218321573,73.84549452565446
1745,2023-09-18,588.493188271543,551.5311789531428
1892,2023-09-18,339.9083387525531,330.3883249566137
493,2023-09-17,407.57413060740737,469.0034602320987
2005,2023-09-17,364.3014235386827,375.58523328044697
49,2023-09-16,103.54085081594936,90.68054302085889
1998,2023-09-16,200.15461861904762,383.6577016439307
1320,2023-09-16,1287.985983291954,386.8517463725714
1720,2023-09-16,918.8609812210908,656.5670713333332
1853,2023-09-15,1264.1097783285209,678.4086862377776
1886,2023-09-15,1301.8099634971434,752.4722703457628
1389,2023-09-15,177.83800653512813,172.41545245524867
2027,2023-09-15,585.6390803501715,38.977723000000005
1684,2023-09-15,566.9400867226036,385.5080672531914
571,2023-09-12,396.18946841437116,617.5955678977272
278,2023-09-11,199.7577007460241,358.7315506840237
1799,2023-09-10,246.62271181546012,269.7199281123596
589,2023-09-09,316.06677207666667,324.3699892755555
1986,2023-09-09,340.97073727362834,75.72488227862068
225,2023-09-09,648.9794711658537,719.4802596528737
2029,2023-09-09,312.76938397775154,448.7863209461079
378,2023-09-05,303.478201556,514.783695724706
65,2023-09-05,259.00045651209047,312.7422440357542
1996,2023-08-31,508.4523172131792,620.1879724367569
400,2023-08-31,474.5763720736001,69.77194562105261
1988,2023-08-31,673.5072202477108,536.3273723447514
150,2023-08-30,65.36993994036364,585.824039691228
1876,2023-08-30,592.7164727358659,114.89609731512196
372,2023-08-29,60.48749644,318.7161915856286
337,2023-08-26,1126.1050026655216,782.7167741676647
1896,2023-08-26,572.8769733261364,137.57156810267384
2018,2023-08-25,326.40750738186046,523.8470501744187
367,2023-08-25,1223.1319076320003,904.7835458242774
219,2023-08-23,876.2106198991617,493.970006349133
1271,2023-08-23,667.4594516045239,640.9304625088755
1957,2023-08-23,132.68000924625,450.5684618993865
732,2023-08-21,382.7428321215556,0
293,2023-08-20,88.0112916131613,102.28596000232557
1701,2023-08-20,735.6302183248555,433.4156228096969
1870,2023-08-20,890.311532608,698.7502303967481
2009,2023-08-20,36.65197332688742,431.2755092345947
1340,2023-08-19,650.2348543599999,589.8462830156524
1892,2023-08-19,340.5427204972021,373.11136945333345
2005,2023-08-19,369.97477599999996,353.3985832222222
217,2023-08-18,474.16499186000004,461.02272644293794
1352,2023-08-18,128.594616524898,80.14353752258063
49,2023-08-18,112.20137886295856,101.06724672418302
546,2023-08-18,416.6002352785716,737.7140234711865
493,2023-08-16,393.6624990134146,449.9695104731707
1886,2023-08-14,1287.6542117840936,712.1088047366121
1389,2023-08-14,133.3268272134104,150.01831418983048
1684,2023-08-14,549.600907465497,424.84273799782613
1720,2023-08-14,869.7526940029813,728.9732114727273
1853,2023-08-13,1115.1255808647618,598.1101885217392
1942,2023-08-13,411.39752082279074,29.025771130158734
1998,2023-08-13,201.65495500543213,346.43825276136363
1829,2023-08-13,602.9430905044187,731.9384277005714
1799,2023-08-13,197.4666879164497,266.4959574282485
1320,2023-08-13,1319.9800453460357,465.3837001882354
278,2023-08-12,204.40492741803476,244.393489154491
1745,2023-08-11,573.0092564369231,555.6577385954023
1294,2023-08-11,1201.7584691702925,839.5412174202246
225,2023-08-11,673.8675785920498,713.6008217364162
443,2023-08-10,180.59928915310348,454.7716422372882
589,2023-08-09,291.262248054023,326.2811803999999
1986,2023-08-07,452.29106818247203,43.538401232989685
65,2023-08-07,265.658269180565,318.40403351204185
2027,2023-08-05,394.909285971497,45.98119811885715
2029,2023-08-05,339.8389373744186,455.70009025628747
1876,2023-08-01,560.1123754866667,114.3249042736842
1988,2023-07-30,714.8852899639767,589.237731459649
1896,2023-07-29,483.078142513913,132.74823906666663
378,2023-07-28,268.7321822330952,520.7130823606935
337,2023-07-28,1128.045842246243,775.8926490760235
718,2023-07-28,572.204170664524,474.35299053551915
150,2023-07-26,47.54684364490797,475.79921582485207
1312,2023-07-26,514.5150658813333,692.2178240065573
2018,2023-07-25,385.7255426994151,491.2135779082353
2000,2023-07-25,232.19175366843376,369.1021516764045
1271,2023-07-25,829.0986753703614,640.9874493618497
400,2023-07-24,424.6266406652382,90.75100400231214
219,2023-07-24,853.9434624253893,478.4731150958579
581,2023-07-24,792.8709236358854,
503,2023-07-22,143.59600783653843,538.8216628149534
293,2023-07-22,76.11896501013334,109.4555193220779
1054,2023-07-22,744.0735703356626,657.9623877226994
